Law,Index,LawName,CleanLaw
"
 (2) (Mülga : 29/6/2005 – 5377/1 md",4,Madde 4, mülga md
")
 Özel kanunlarla ilişki
 Madde 5- (1) Bu Kanunun genel hükümleri, özel ceza kanunları ve ceza içeren kanunlardaki suçlar hakkında da
 uygulanır",5,Madde 5, özel kanunlarla ilişki madde kanunun genel hükümleri özel ceza kanunları ceza içeren kanunlardaki suçlar hakkında uygulanır
"
 ––––––––––––––––––––
 (1) Bu Kanunun yürürlük ve uygulama şekli ve 765 sayılı Türk Ceza Kanununa çeşitli mevzuatta yapılan atıflarla ilgili olarak 4/11/2004
 tarihli ve 5252 sayılı Kanuna bakınız",5,Madde 5, kanunun yürürlük uygulama şekli sayılı türk ceza kanununa mevzuatta atıflarla tarihli sayılı kanuna bakınız
"
 8966
 Tanımlar
 Madde 6- (1) Ceza kanunlarının uygulanmasında;
 a) Vatandaş deyiminden; fiili işlediği sırada Türk vatandaşı olan kişi,
 b) Çocuk deyiminden; henüz onsekiz yaşını doldurmamış kişi,
 c) Kamu görevlisi deyiminden; kamusal faaliyetin yürütülmesine atama veya seçilme yoluyla ya da herhangi bir
 surette sürekli, süreli veya geçici olarak katılan kişi,
 d) Yargı görevi yapan deyiminden; yüksek mahkemeler, adlî ve idarî mahkemeler üye ve hakimleri ile Cumhuriyet
 savcısı ve avukatlar, (1)
 e) Gece vakti deyiminden; güneşin batmasından bir saat sonra başlayan ve doğmasından bir saat evvele kadar devam
 eden zaman süresi,
 f) Silah deyiminden;
 1. Ateşli silahlar,
 2. Patlayıcı maddeler,
 3. Saldırı ve savunmada kullanılmak üzere yapılmış her türlü kesici, delici veya bereleyici alet,
 4. Saldırı ve savunma amacıyla yapılmış olmasa bile fiilen saldırı ve savunmada kullanılmaya elverişli diğer şeyler,
 5. Yakıcı, aşındırıcı, yaralayıcı, boğucu, zehirleyici, sürekli hastalığa yol açıcı nükleer, radyoaktif, kimyasal,
 biyolojik maddeler,
 g) Basın ve yayın yolu ile deyiminden; her türlü yazılı, görsel, işitsel ve elektronik kitle iletişim aracıyla yapılan
 yayınlar,
 h) İtiyadi suçlu deyiminden; kasıtlı bir suçun temel şeklini ya da daha ağır veya daha az cezayı gerektiren nitelikli
 şekillerini bir yıl içinde ve farklı zamanlarda ikiden fazla işleyen kişi,
 i) Suçu meslek edinen kişi deyiminden; kısmen de olsa geçimini suçtan elde ettiği kazançla sağlamaya alışmış kişi,
 j) Örgüt mensubu suçlu deyiminden; bir suç örgütünü kuran, yöneten, örgüte katılan veya örgüt adına diğerleriyle
 birlikte veya tek başına suç işleyen kişi,
 Anlaşılır",6,Madde 6, tanımlar madde ceza kanunlarının uygulanmasında vatandaş deyiminden fiili işlediği sırada türk vatandaşı kişi çocuk deyiminden onsekiz yaşını doldurmamış kişi kamu görevlisi deyiminden kamusal faaliyetin yürütülmesine atama seçilme surette sürekli süreli geçici katılan kişi yargı görevi yapan deyiminden yüksek mahkemeler adlî idarî mahkemeler üye hakimleri cumhuriyet savcısı avukatlar gece vakti deyiminden güneşin batmasından saat başlayan doğmasından saat evvele devam zaman süresi silah deyiminden ateşli silahlar patlayıcı maddeler saldırı savunmada kullanılmak yapılmış türlü kesici delici bereleyici alet saldırı savunma amacıyla yapılmış olmasa fiilen saldırı savunmada kullanılmaya elverişli yakıcı aşındırıcı yaralayıcı boğucu zehirleyici sürekli hastalığa yol açıcı nükleer radyoaktif kimyasal biyolojik maddeler basın yayın yolu deyiminden türlü yazılı görsel işitsel elektronik kitle iletişim aracıyla yayınlar itiyadi suçlu deyiminden kasıtlı suçun temel şeklini ağır cezayı gerektiren nitelikli şekillerini yıl içinde farklı zamanlarda ikiden işleyen kişi suçu meslek edinen kişi deyiminden kısmen geçimini suçtan elde kazançla sağlamaya alışmış kişi örgüt mensubu suçlu deyiminden suç örgütünü kuran yöneten örgüte katılan örgüt adına diğerleriyle başına suç işleyen kişi anlaşılır
"
 İKİNCİ BÖLÜM
 Kanunun Uygulama Alanı
 Zaman bakımından uygulama
 Madde 7- (1) İşlendiği zaman yürürlükte bulunan kanuna göre suç sayılmayan bir fiilden dolayı kimseye ceza
 verilemez ve güvenlik tedbiri uygulanamaz",7,Madde 7, ikinci bölüm kanunun uygulama alanı zaman bakımından uygulama madde işlendiği zaman yürürlükte bulunan kanuna suç sayılmayan fiilden kimseye ceza verilemez güvenlik tedbiri uygulanamaz
" İşlendikten sonra yürürlüğe giren kanuna göre suç sayılmayan bir fiilden dolayı
 da kimse cezalandırılamaz ve hakkında güvenlik tedbiri uygulanamaz",7,Madde 7, işlendikten yürürlüğe giren kanuna suç sayılmayan fiilden cezalandırılamaz hakkında güvenlik tedbiri uygulanamaz
" Böyle bir ceza veya güvenlik tedbiri hükmolunmuşsa
 infazı ve kanuni neticeleri kendiliğinden kalkar",7,Madde 7, ceza güvenlik tedbiri hükmolunmuşsa infazı kanuni neticeleri kendiliğinden kalkar
"
 (2) Suçun işlendiği zaman yürürlükte bulunan kanun ile sonradan yürürlüğe giren kanunların hükümleri farklı ise,
 failin lehine olan kanun uygulanır ve infaz olunur",7,Madde 7, suçun işlendiği zaman yürürlükte bulunan kanun yürürlüğe giren kanunların hükümleri farklı failin lehine kanun uygulanır infaz olunur
"
 (3) (Değişik: 29/6/2005 – 5377/2 md",7,Madde 7, değişik md
") Hapis cezasının ertelenmesi, koşullu salıverilme ve tekerrürle ilgili olanlar
 hariç; infaz rejimine ilişkin hükümler, derhal uygulanır",7,Madde 7, hapis cezasının ertelenmesi koşullu salıverilme tekerrürle olanlar infaz rejimine ilişkin hükümler uygulanır
"
 –––––––––––––––––––––
 (1) 2/7/2018 tarihli ve 700 sayılı KHK’nin 156 ncı maddesiyle, bu bentte yer alan “ve adlî, idarî ve askerî” ibaresi “, adlî ve idarî” şeklinde
 değiştirilmiştir",7,Madde 7, tarihli sayılı khk nin ncı maddesiyle bentte yer alan adlî idarî askerî ibaresi adlî idarî şeklinde değiştirilmiştir
"
 8967
 (4) Geçici veya süreli kanunların, yürürlükte bulundukları süre içinde işlenmiş olan suçlar hakkında uygulanmasına
 devam edilir",7,Madde 7, geçici süreli kanunların yürürlükte bulundukları süre içinde işlenmiş suçlar hakkında uygulanmasına devam edilir
"
 Yer bakımından uygulama
 Madde 8- (1) Türkiye'de işlenen suçlar hakkında Türk kanunları uygulanır",8,Madde 8, yer bakımından uygulama madde türkiye işlenen suçlar hakkında türk kanunları uygulanır
" Fiilin kısmen veya tamamen Türkiye'de
 işlenmesi veya neticenin Türkiye'de gerçekleşmesi halinde suç, Türkiye'de işlenmiş sayılır",8,Madde 8, fiilin kısmen türkiye işlenmesi neticenin türkiye gerçekleşmesi halinde suç türkiye işlenmiş sayılır
"
 (2) Suç;
 a) Türk kara ve hava sahaları ile Türk karasularında,
 b) Açık denizde ve bunun üzerindeki hava sahasında, Türk deniz ve hava araçlarında veya bu araçlarla,
 c) Türk deniz ve hava savaş araçlarında veya bu araçlarla,
 d) Türkiye'nin kıt'a sahanlığında veya münhasır ekonomik bölgesinde tesis edilmiş sabit platformlarda veya bunlara
 karşı,
 İşlendiğinde Türkiye'de işlenmiş sayılır",8,Madde 8, suç türk kara hava sahaları türk karasularında açık denizde üzerindeki hava sahasında türk deniz hava araçlarında araçlarla türk deniz hava savaş araçlarında araçlarla türkiye nin kıt sahanlığında münhasır ekonomik bölgesinde tesis edilmiş sabit platformlarda bunlara karşı işlendiğinde türkiye işlenmiş sayılır
"
 Yabancı ülkede hüküm verilmesi
 Madde 9- (1) Türkiye'de işlediği suçtan dolayı yabancı ülkede hakkında hüküm verilmiş olan kimse, Türkiye'de
 yeniden yargılanır",9,Madde 9, yabancı ülkede hüküm verilmesi madde türkiye işlediği suçtan yabancı ülkede hakkında hüküm verilmiş türkiye yargılanır
"
 Görev suçları
 Madde 10- (1) Yabancı ülkede Türkiye namına memuriyet veya görev üstlenmiş olup da bundan dolayı bir suç
 işleyen kimse, bu fiile ilişkin olarak yabancı ülkede hakkında mahkûmiyet hükmü verilmiş bulunsa bile, Türkiye'de yeniden
 yargılanır",10,Madde 10, görev suçları madde yabancı ülkede türkiye namına memuriyet görev üstlenmiş suç işleyen fiile ilişkin yabancı ülkede hakkında mahkûmiyet hükmü verilmiş bulunsa türkiye yargılanır
"
 Vatandaş tarafından işlenen suç
 Madde 11- (1) Bir Türk vatandaşı, 13 üncü maddede yazılı suçlar dışında, Türk kanunlarına göre aşağı sınırı bir
 yıldan az olmayan hapis cezasını gerektiren bir suçu yabancı ülkede işlediği ve kendisi Türkiye'de bulunduğu takdirde, bu
 suçtan dolayı yabancı ülkede hüküm verilmemiş olması ve Türkiye'de kovuşturulabilirliğin bulunması koşulu ile Türk
 kanunlarına göre cezalandırılır",11,Madde 11, vatandaş işlenen suç madde türk vatandaşı üncü maddede yazılı suçlar dışında türk kanunlarına aşağı sınırı yıldan olmayan hapis cezasını gerektiren suçu yabancı ülkede işlediği türkiye bulunduğu takdirde suçtan yabancı ülkede hüküm verilmemiş türkiye kovuşturulabilirliğin bulunması koşulu türk kanunlarına cezalandırılır
"
 (2) Suç, aşağı sınırı bir yıldan az hapis cezasını gerektirdiğinde yargılama yapılması zarar görenin veya yabancı
 hükûmetin şikayetine bağlıdır",11,Madde 11, suç aşağı sınırı yıldan hapis cezasını gerektirdiğinde yargılama zarar görenin yabancı hükûmetin şikayetine bağlıdır
"["" Bu durumda şikayet, vatandaşın Türkiye'ye girdiği tarihten itibaren altı ay içinde yapılmalıdır""]",11,Madde 11, durumda şikayet vatandaşın türkiye ye girdiği tarihten altı ay içinde yapılmalıdır
"
 Yabancı tarafından işlenen suç
 Madde 12- (1) Bir yabancı, 13 üncü maddede yazılı suçlar dışında, Türk kanunlarına göre aşağı sınırı en az bir yıl
 hapis cezasını gerektiren bir suçu yabancı ülkede Türkiye'nin zararına işlediği ve kendisi Türkiye'de bulunduğu takdirde,
 Türk kanunlarına göre cezalandırılır",12,Madde 12, yabancı işlenen suç madde yabancı üncü maddede yazılı suçlar dışında türk kanunlarına aşağı sınırı yıl hapis cezasını gerektiren suçu yabancı ülkede türkiye nin zararına işlediği türkiye bulunduğu takdirde türk kanunlarına cezalandırılır
[' Yargılama yapılması Adalet Bakanının istemine bağlıdır'],12,Madde 12, yargılama adalet bakanının istemine bağlıdır
"
 (2) Yukarıdaki fıkrada belirtilen suçun bir Türk vatandaşının veya Türk kanunlarına göre kurulmuş özel hukuk tüzel
 kişisinin zararına işlenmesi ve failin Türkiye'de bulunması halinde, bu suçtan dolayı yabancı ülkede hüküm verilmemiş
 olması koşulu ile suçtan zarar görenin şikayeti üzerine fail, Türk kanunlarına göre cezalandırılır",12,Madde 12, yukarıdaki fıkrada belirtilen suçun türk vatandaşının türk kanunlarına kurulmuş özel hukuk tüzel kişisinin zararına işlenmesi failin türkiye bulunması halinde suçtan yabancı ülkede hüküm verilmemiş koşulu suçtan zarar görenin şikayeti üzerine fail türk kanunlarına cezalandırılır
"
 (3) Mağdur yabancı ise, aşağıdaki koşulların varlığı halinde fail, Adalet Bakanının istemi ile yargılanır:
 a) Suçun, Türk kanunlarına göre aşağı sınırı üç yıldan az olmayan hapis cezasını gerektirmesi",12,Madde 12, mağdur yabancı aşağıdaki koşulların varlığı halinde fail adalet bakanının istemi yargılanır suçun türk kanunlarına aşağı sınırı yıldan olmayan hapis cezasını gerektirmesi
"
 8968
 b) Suçluların geri verilmesi anlaşmasının bulunmaması veya geri verilme isteminin suçun işlendiği ülkenin veya
 failin uyruğunda bulunduğu devletin hükûmeti tarafından kabul edilmemiş olması",12,Madde 12, suçluların geri verilmesi anlaşmasının bulunmaması geri verilme isteminin suçun işlendiği ülkenin failin uyruğunda bulunduğu devletin hükûmeti kabul edilmemiş
"
 (4) Birinci fıkra kapsamına giren suçtan dolayı yabancı mahkemece mahkûm edilen veya herhangi bir nedenle davası
 veya cezası düşen veya beraat eden yahut suçu kovuşturulabilir olmaktan çıkan yabancı hakkında Adalet Bakanının istemi
 üzerine Türkiye'de yeniden yargılama yapılır",12,Madde 12, birinci fıkra kapsamına giren suçtan yabancı mahkemece mahkûm edilen davası cezası düşen beraat suçu kovuşturulabilir olmaktan çıkan yabancı hakkında adalet bakanının istemi üzerine türkiye yargılama yapılır
"
 (5) (Ek: 18/6/2014-6545/56 md",12,Madde 12, ek md
") Birinci fıkra kapsamına giren hâllerde rüşvet ve nüfuz ticareti suçlarından dolayı
 yargılama yapılması Adalet Bakanının istemine bağlı değildir",12,Madde 12, birinci fıkra kapsamına giren hâllerde rüşvet nüfuz ticareti suçlarından yargılama adalet bakanının istemine bağlı değildir
"
 Diğer suçlar
 Madde 13- (1) Aşağıdaki suçların, vatandaş veya yabancı tarafından, yabancı ülkede işlenmesi halinde, Türk
 kanunları uygulanır:
 a) İkinci Kitap, Birinci Kısım altında yer alan suçlar",13,Madde 13, suçlar madde aşağıdaki suçların vatandaş yabancı yabancı ülkede işlenmesi halinde türk kanunları uygulanır ikinci kitap birinci kısım altında yer alan suçlar
"
 b) İkinci Kitap, Dördüncü Kısım altındaki Üçüncü, Dördüncü, Beşinci, Altıncı, Yedinci ve Sekizinci Bölümlerde yer
 alan suçlar",13,Madde 13, ikinci kitap dördüncü kısım altındaki üçüncü dördüncü beşinci altıncı yedinci sekizinci bölümlerde yer alan suçlar
"
 c) İşkence (madde 94, 95)",13,Madde 13, işkence madde
"
 d) Çevrenin kasten kirletilmesi (madde 181)",13,Madde 13, çevrenin kasten kirletilmesi madde
"
 e) Uyuşturucu veya uyarıcı madde imal ve ticareti (madde 188), uyuşturucu veya uyarıcı madde kullanılmasını
 kolaylaştırma (madde 190)",13,Madde 13, uyuşturucu uyarıcı madde imal ticareti madde uyuşturucu uyarıcı madde kullanılmasını kolaylaştırma madde
"
 f) Parada sahtecilik (madde 197), para ve kıymetli damgaları imale yarayan araçların üretimi ve ticareti (madde 200),
 mühürde sahtecilik (madde 202)",13,Madde 13, parada sahtecilik madde para kıymetli damgaları imale yarayan araçların üretimi ticareti madde mühürde sahtecilik madde
"
 g) Fuhuş (madde 227)",13,Madde 13, fuhuş madde
"
 h) (Mülga : 26/6/2009 – 5918/1 md",13,Madde 13, mülga md
")
 i) Deniz, demiryolu veya havayolu ulaşım araçlarının kaçırılması veya alıkonulması (madde 223, fıkra 2, 3) ya da bu
 araçlara karşı işlenen zarar verme (madde 152) suçları",13,Madde 13, deniz demiryolu havayolu ulaşım araçlarının kaçırılması alıkonulması madde fıkra araçlara karşı işlenen zarar verme madde suçları
"
 (2) (Ek ikinci fıkra: 29/6/2005 – 5377/3 md",13,Madde 13, ek ikinci fıkra md
") İkinci Kitap, Dördüncü Kısım altındaki Üçüncü, Dördüncü, Beşinci,
 Altıncı ve Yedinci Bölümlerde yer alanlar hariç; birinci fıkra kapsamına giren suçlardan dolayı Türkiye'de yargılama
 yapılması, Adalet Bakanının talebine bağlıdır
 (3) Birinci fıkranın (a) ve (b) bentlerinde yazılı suçlar dolayısıyla yabancı bir ülkede mahkûmiyet veya beraat kararı
 verilmiş olsa bile, Adalet Bakanının talebi üzerine Türkiye'de yargılama yapılır",13,Madde 13, ikinci kitap dördüncü kısım altındaki üçüncü dördüncü beşinci altıncı yedinci bölümlerde yer alanlar birinci fıkra kapsamına giren suçlardan türkiye yargılama adalet bakanının talebine bağlıdır birinci fıkranın bentlerinde yazılı suçlar yabancı ülkede mahkûmiyet beraat kararı verilmiş adalet bakanının talebi üzerine türkiye yargılama yapılır
"(1)
 Seçimlik cezalarda soruşturma
 Madde 14- (1) 11 ve 12 nci maddelerde belirtilen hallerde, soruşturma konusu suçun yer aldığı kanun maddesinde
 hapis cezası ile adli para cezasından birinin uygulanması seçimlik sayılmış ise soruşturma veya kovuşturma açılmaz",14,Madde 14, seçimlik cezalarda soruşturma madde nci maddelerde belirtilen hallerde soruşturma konusu suçun yer aldığı kanun maddesinde hapis cezası adli para cezasından uygulanması seçimlik sayılmış soruşturma kovuşturma açılmaz
"
 Soruşturma koşulu olan cezanın hesaplanması
 Madde 15- (1) Miktarının soruşturma koşulu oluşturduğu hallerde ceza, soruşturma evresinde ileri sürülen kanuni
 ağırlaştırıcı nedenlerin aşağı sınırı ve kanuni hafifletici nedenlerin yukarı sınırı göz önünde bulundurularak hesaplanır",15,Madde 15, soruşturma koşulu cezanın hesaplanması madde miktarının soruşturma koşulu oluşturduğu hallerde ceza soruşturma evresinde ileri sürülen kanuni ağırlaştırıcı nedenlerin aşağı sınırı kanuni hafifletici nedenlerin yukarı sınırı göz önünde bulundurularak hesaplanır
"
 Cezadan mahsup
 Madde 16- (1) Nerede işlenmiş olursa olsun bir suçtan dolayı, yabancı ülkede gözaltında, gözlem altında,
 tutuklulukta veya hükümlülükte geçen süre, aynı suçtan dolayı Türkiye'de verilecek cezadan mahsup edilir",16,Madde 16, cezadan mahsup madde işlenmiş suçtan yabancı ülkede gözaltında gözlem altında tutuklulukta hükümlülükte geçen süre aynı suçtan türkiye verilecek cezadan mahsup edilir
"
 Hak yoksunlukları
 Madde 17- (1) Yukarıdaki maddelerde açıklanan hallerde mahkeme, yabancı mahkemelerden verilen ve Türk hukuk
 düzenine aykırı düşmeyen hükmün, Türk kanunlarına göre bir haktan yoksunluğu gerektirmesi halinde, Cumhuriyet
 savcısının istemi üzerine Türk kanunlarındaki sonuçlarının geçerli olmasına karar verir",17,Madde 17, hak yoksunlukları madde yukarıdaki maddelerde açıklanan hallerde mahkeme yabancı mahkemelerden verilen türk hukuk düzenine aykırı düşmeyen hükmün türk kanunlarına haktan yoksunluğu gerektirmesi halinde cumhuriyet savcısının istemi üzerine türk kanunlarındaki sonuçlarının geçerli olmasına karar verir
"
 ________________________
 (1) Bu fıkranın numarası (2) iken, maddeye 29/6/2005 tarihli ve 5377 sayılı Kanunun 3 üncü maddesiyle, birinci fıkradan sonra gelmek
 üzere ikinci fıkra eklendiği için, (3) olarak teselsül ettirilmiştir",17,Madde 17, fıkranın numarası maddeye tarihli sayılı kanunun üncü maddesiyle birinci fıkradan gelmek ikinci fıkra eklendiği teselsül ettirilmiştir
"
 8969
 Geri verme
 Madde 18- (Mülga: 23/4/2016-6706/36 md",18,Madde 18, geri verme madde mülga md
")
 Yabancı kanunun göz önünde bulundurulması
 Madde 19- (1) Türkiye'nin egemenlik alanı dışında işlenen suçlar dolayısıyla Türkiye'de yargılama yapılırken, Türk
 kanununa göre verilecek olan ceza, suçun işlendiği ülke kanununda öngörülen cezanın üst sınırından fazla olamaz",19,Madde 19, yabancı kanunun göz önünde bulundurulması madde türkiye nin egemenlik alanı dışında işlenen suçlar türkiye yargılama yapılırken türk kanununa verilecek ceza suçun işlendiği ülke kanununda öngörülen cezanın üst sınırından olamaz
"
 (2) Ancak suçun;
 a) Türkiye'nin güvenliğine karşı veya zararına olarak,
 b) Türk vatandaşına karşı ya da Türk kanunlarına göre kurulmuş özel hukuk tüzel kişisi zararına olarak,
 İşlenmesi durumunda, yukarıdaki fıkra hükmü uygulanmaz",19,Madde 19, suçun türkiye nin güvenliğine karşı zararına türk vatandaşına karşı türk kanunlarına kurulmuş özel hukuk tüzel kişisi zararına işlenmesi durumunda yukarıdaki fıkra hükmü uygulanmaz
"
 İKİNCİ KISIM
 Ceza Sorumluluğunun Esasları
 BİRİNCİ BÖLÜM
 Ceza Sorumluluğunun Şahsiliği, Kast ve Taksir
 Ceza sorumluluğunun şahsiliği
 Madde 20- (1) Ceza sorumluluğu şahsidir",20,Madde 20, ikinci kısım ceza sorumluluğunun esasları birinci bölüm ceza sorumluluğunun şahsiliği kast taksir ceza sorumluluğunun şahsiliği madde ceza sorumluluğu şahsidir
[' Kimse başkasının fiilinden dolayı sorumlu tutulamaz'],20,Madde 20, fiilinden sorumlu tutulamaz
"
 (2) Tüzel kişiler hakkında ceza yaptırımı uygulanamaz",20,Madde 20, tüzel kişiler hakkında ceza yaptırımı uygulanamaz
" Ancak, suç dolayısıyla kanunda öngörülen güvenlik tedbiri
 niteliğindeki yaptırımlar saklıdır",20,Madde 20, suç kanunda öngörülen güvenlik tedbiri niteliğindeki yaptırımlar saklıdır
"
 Kast
 Madde 21- (1) Suçun oluşması kastın varlığına bağlıdır",21,Madde 21, kast madde suçun oluşması kastın varlığına bağlıdır
" Kast, suçun kanuni tanımındaki unsurların bilerek ve
 istenerek gerçekleştirilmesidir",21,Madde 21, kast suçun kanuni tanımındaki unsurların bilerek istenerek gerçekleştirilmesidir
"
 (2) Kişinin, suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine rağmen, fiili işlemesi halinde
 olası kast vardır",21,Madde 21, kişinin suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine fiili işlemesi halinde olası kast vardır
" Bu halde, ağırlaştırılmış müebbet hapis cezasını gerektiren suçlarda müebbet hapis cezasına, müebbet hapis
 cezasını gerektiren suçlarda yirmi yıldan yirmibeş yıla kadar hapis cezasına hükmolunur; diğer suçlarda ise temel ceza üçte
 birden yarısına kadar indirilir",21,Madde 21, halde ağırlaştırılmış müebbet hapis cezasını gerektiren suçlarda müebbet hapis cezasına müebbet hapis cezasını gerektiren suçlarda yıldan yirmibeş yıla hapis cezasına hükmolunur suçlarda temel ceza üçte yarısına indirilir
"
 Taksir
 Madde 22- (1) Taksirle işlenen fiiller, kanunun açıkça belirttiği hallerde cezalandırılır",22,Madde 22, taksir madde taksirle işlenen fiiller kanunun belirttiği hallerde cezalandırılır
"
 (2) Taksir, dikkat ve özen yükümlülüğüne aykırılık dolayısıyla, bir davranışın suçun kanuni tanımında belirtilen
 neticesi öngörülmeyerek gerçekleştirilmesidir",22,Madde 22, taksir dikkat özen yükümlülüğüne aykırılık davranışın suçun kanuni tanımında belirtilen neticesi öngörülmeyerek gerçekleştirilmesidir
"
 (3) Kişinin öngördüğü neticeyi istememesine karşın, neticenin meydana gelmesi halinde bilinçli taksir vardır; bu
 halde taksirli suça ilişkin ceza üçte birden yarısına kadar artırılır",22,Madde 22, kişinin öngördüğü neticeyi istememesine neticenin meydana gelmesi halinde bilinçli taksir vardır halde taksirli suça ilişkin ceza üçte yarısına artırılır
"
 (4) Taksirle işlenen suçtan dolayı verilecek olan ceza failin kusuruna göre belirlenir",22,Madde 22, taksirle işlenen suçtan verilecek ceza failin kusuruna belirlenir
"
 (5) Birden fazla kişinin taksirle işlediği suçlarda, herkes kendi kusurundan dolayı sorumlu olur",22,Madde 22, kişinin taksirle işlediği suçlarda kusurundan sorumlu
" Her failin cezası
 kusuruna göre ayrı ayrı belirlenir",22,Madde 22, failin cezası kusuruna ayrı ayrı belirlenir
"
 8970
 (6) Taksirli hareket sonucu neden olunan netice, münhasıran failin kişisel ve ailevi durumu bakımından, artık bir
 cezanın hükmedilmesini gereksiz kılacak derecede mağdur olmasına yol açmışsa ceza verilmez; bilinçli taksir halinde
 verilecek ceza yarıdan altıda bire kadar indirilebilir",22,Madde 22, taksirli hareket sonucu olunan netice münhasıran failin kişisel ailevi durumu bakımından cezanın hükmedilmesini gereksiz kılacak derecede mağdur olmasına yol açmışsa ceza verilmez bilinçli taksir halinde verilecek ceza yarıdan altıda bire indirilebilir
"
 Netice sebebiyle ağırlaşmış suç
 Madde 23- (1) Bir fiilin, kastedilenden daha ağır veya başka bir neticenin oluşumuna sebebiyet vermesi halinde,
 kişinin bundan dolayı sorumlu tutulabilmesi için bu netice bakımından en azından taksirle hareket etmesi gerekir",23,Madde 23, netice sebebiyle ağırlaşmış suç madde fiilin kastedilenden ağır neticenin oluşumuna sebebiyet vermesi halinde kişinin sorumlu tutulabilmesi netice bakımından azından taksirle hareket gerekir
"
 İKİNCİ BÖLÜM
 Ceza Sorumluluğunu Kaldıran veya Azaltan Nedenler
 Kanunun hükmü ve amirin emri
 Madde 24- (1) Kanunun hükmünü yerine getiren kimseye ceza verilmez",24,Madde 24, ikinci bölüm ceza sorumluluğunu kaldıran azaltan kanunun hükmü amirin emri madde kanunun hükmünü getiren kimseye ceza verilmez
